movieId,tf1,tf2
tt0144084,0.5704621,0.42586628
tt0144117,0.5663941,0.4129734
tt0144120,0.38411194,0.29826048
tt0144715,0.4474392,0.37353137
tt0144814,0.4625559,0.3484048
tt0144964,0.46732563,0.34662625
tt0155975,0.56002134,0.4088257
tt0156812,0.33192134,0.29144177
tt0156841,0.43598023,0.3451134
tt0156887,0.52887946,0.39045092
tt0156934,0.41776112,0.36274585
tt0157016,0.5587734,0.47228706
tt0157262,0.4102289,0.31368592
tt0157503,0.38066137,0.32147837
tt0158371,0.48043174,0.38125822
tt0158622,0.40577438,0.28600523
tt0158811,0.43415692,0.36852872
tt0175880,0.65125775,0.5616466
tt0176269,0.35361752,0.25915906
tt0176783,0.3683909,0.2752728
tt0181151,0.34505045,0.2862526
tt0186566,0.44997355,0.35128516
tt0186589,0.46702445,0.31687045
tt0186894,0.34351808,0.28359
tt0186975,0.33017194,0.258526
tt0187078,0.42608786,0.29660392
tt0187393,0.5146273,0.40472475
tt0187738,0.54327416,0.355253
tt0188640,0.49364674,0.334763
tt0188863,0.43148696,0.3618813
tt0192614,0.40038714,0.31680503
tt0192731,0.4743669,0.3184896
tt0193524,0.53569907,0.42708713
tt0194218,0.3869991,0.34957987
tt0194314,0.414514,0.30310526
3,0.7660877,0.63908374
4,0.75224996,0.6600759
5,0.7187943,0.68290544
6,0.78103226,0.5933972
7,0.7877674,0.60923356
8,0.7856509,0.6075931
9,0.820295,0.63497686
10,0.7177549,0.54122823
11,0.7777877,0.59610337
12,0.7023138,0.49964792
13,0.68788815,0.66954505
14,0.77559674,0.6681396
15,0.7688449,0.6998678
16,0.7203753,0.5640764
17,0.8042703,0.6757491
18,0.7468241,0.6070219
19,0.6800614,0.6503844
